Timestamp,Sistema_Activo,Ref_Temp,Med_Temp,PWM_Temp,Ref_Vel,Med_Vel,PWM_Motor
18:54:37,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:37,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:38,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:38,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:39,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:40,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:40,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:41,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:41,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:42,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:43,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:44,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:44,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:45,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:46,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:46,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:47,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:47,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:48,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:49,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:50,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:50,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:51,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:51,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:52,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:52,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:53,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:53,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:54,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:55,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:55,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:56,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:56,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:57,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:57,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:58,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:59,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:54:59,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:00,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:00,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:01,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:02,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:02,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:03,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:03,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:04,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:05,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:05,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:06,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:06,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:07,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:07,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:08,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:09,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:09,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:10,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:10,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:11,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:12,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:12,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:13,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:13,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
18:55:14,Temperatura,32.5,25.00,100.0,350.0,0.0,0.0
